step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,228,4,1.1573779782442217,0.0,0.5,1.0657771627050958,0.0,0.5138888888888888
2,392,8,1.2094512251880953,0.0,0.4423076923076923,,,
3,588,12,1.0830889016923113,0.0,0.47368421052631576,,,
4,816,16,1.001002152989739,0.0,0.4666666666666667,,,
5,1012,20,0.9463437514887119,0.0,0.5087719298245614,,,
6,1208,24,1.2298612878325912,0.0,0.5285714285714286,,,
7,1404,28,1.2675047622836777,0.0,0.44776119402985076,,,
8,1632,32,1.0644468891030814,0.0,0.4027777777777778,1.1590342152712585,0.0,0.5172413793103449
9,1796,36,1.550942635904685,0.0,0.4262295081967213,,,
10,2024,40,0.9761891908283749,0.0,0.46153846153846156,,,
11,2220,44,1.176794732783143,0.0,0.5454545454545454,,,
12,2416,48,1.0010572833712936,0.0,0.4426229508196721,,,
13,2644,52,0.830616667254223,0.0,0.5172413793103449,,,
14,2808,56,1.3362135482413215,0.0,0.4426229508196721,,,
15,3036,60,1.0348864196365215,0.0,0.46153846153846156,1.169652478934004,0.0,0.40384615384615385
16,3232,64,0.9690937703657255,0.0,0.41509433962264153,,,
17,3460,68,1.0902502315756486,0.0,0.5060240963855421,,,
18,3656,72,1.137536131281316,0.0,0.5079365079365079,,,
19,3852,76,1.2649892553821678,0.0,0.5,,,
20,4080,80,0.8848488001451708,0.0,0.5294117647058824,,,
21,4244,84,1.3386417767649983,0.0,0.4461538461538462,,,
22,4440,88,1.0380465108288186,0.0,0.3968253968253968,1.096748501627917,0.0,0.5272727272727272
23,4604,92,1.3263004130277114,0.0,0.5625,,,
24,4832,96,0.7530136054925025,0.0,0.5079365079365079,,,
25,5060,100,1.0805681413109856,0.0,0.5211267605633803,,,
26,5256,104,1.017357545998474,0.0,0.5072463768115942,,,
27,5452,108,0.951537069694488,0.0,0.49206349206349204,,,
28,5680,112,0.9904330906042922,0.0,0.547945205479452,,,
29,5876,116,1.0740884210830624,0.0,0.5,1.3085680607414663,0.0,0.4126984126984127
30,6072,120,1.093807922656227,0.0,0.5217391304347826,,,
31,6268,124,0.9707474282668651,0.0,0.5,,,
32,6464,128,1.149329990977579,0.0,0.4864864864864865,,,
33,6660,132,1.0154765527000715,0.0,0.5238095238095238,,,
34,6856,136,1.0124928734198875,0.0,0.5217391304347826,,,
35,7052,140,0.9006958806599867,0.0,0.5,,,
36,7216,144,1.028197357812951,0.0,0.5555555555555556,1.391431881407334,0.0,0.4745762711864407
37,7444,148,0.908665218861935,0.0,0.47058823529411764,,,
38,7640,152,0.8921585402288958,0.0,0.5409836065573771,,,
39,7836,156,0.8221081886607691,0.0,0.5,,,
40,8064,160,0.7595299081430962,0.0,0.5942028985507246,,,
41,8260,164,0.8842960386617571,0.0,0.5,,,
42,8456,168,0.9372749101402102,0.0,0.5245901639344263,,,
43,8684,172,0.8761772219205438,0.0,0.5,1.218905054594264,0.0,0.4838709677419355
44,8880,176,0.9460183559992932,0.0,0.5254237288135594,,,
45,9076,180,1.0457988887678993,0.0,0.4666666666666667,,,
46,9272,184,0.8691701484851363,0.0,0.4745762711864407,,,
47,9500,188,0.9221408072256638,0.0,0.5753424657534246,,,
48,9664,192,1.0039071618000033,0.0,0.5573770491803278,,,
49,9892,196,0.7757794688846961,0.0,0.5294117647058824,,,
50,10088,200,0.9023804024048939,0.0,0.5555555555555556,1.3731475568232419,0.0,0.44642857142857145
51,10284,204,1.0557196819289154,0.0,0.5074626865671642,,,
52,10448,208,0.9781038111366605,0.0,0.49122807017543857,,,
53,10644,212,0.6785785795253219,0.0,0.5789473684210527,,,
54,10840,216,0.9300837665032986,0.0,0.5671641791044776,,,
55,11036,220,0.943321584330159,0.0,0.4918032786885246,,,
56,11200,224,0.9765346465135736,0.0,0.49056603773584906,,,
57,11364,228,1.0784835545953093,0.0,0.6029411764705882,1.2430973138404926,0.0,0.4666666666666667
58,11560,232,0.8207965724361769,0.0,0.4827586206896552,,,
59,11756,236,0.9735388414451942,0.0,0.5666666666666667,,,
60,11952,240,1.1299673520974454,0.0,0.5217391304347826,,,
61,12116,244,1.091871455432738,0.0,0.5409836065573771,,,
62,12312,248,0.8198882624040418,0.0,0.5,,,
63,12508,252,0.8114451271652753,0.0,0.5645161290322581,,,
